Содержание,Сервис,Приоритет,Статус,Функциональная группа,Крайний срок,Дата обращения,Тип обращения на момент подачи,Тип обращения итоговый,Решение             ,Тип переклассификации,Дата восстановления,Дата закрытия обращения,Критичность,Влияние,Система,Место,range_time,time_to_solve,koef,numeric_sod,numeric_ans
Выполнена разблокировка у/з REGION\*****,Сервис7,1,1,0,2018-01-31 07:51:00,2018-01-25 22:47:00,0,0,"Выполнена разблокировка у/з Ne_bosS\*********
Идентификация пользователя осуществлена.
Объект доступа легален.
Причина нарушения: Несколько раз неправильный ввод пароля",0,2018-01-25 22:47,2018-02-02 07:52:00,1,1,0,0,177.08333333333334,129.06666666666666,1,299,282
.Не включается ПК,АРМ,0,1,1,2018-01-28 05:50:00,2018-01-25 23:13:00,1,1,Выход из стоя БП. Заменён.,0,2018-01-25 23:55,2018-01-26 00:00:00,0,1,1,1,0.7833333333333333,54.61666666666667,0,137,417
"Заявка № ***********, *******************",АРМ,0,1,2,2018-02-03 02:51:00,2018-01-25 23:39:00,0,0,Работы по обращению выполнены,0,2018-01-28 02:54,2018-02-04 07:53:00,0,0,1,2,224.23333333333332,195.2,0,458,1167
"Заявка № ***********, *******************",АРМ,0,1,3,2018-01-31 07:51:00,2018-01-25 23:39:00,0,0,Доступ заблокирован,0,2018-01-26 03:19,2018-02-02 07:52:00,0,0,2,2,176.21666666666667,128.2,0,458,564
"Заявка № ***********, *******************",АРМ,0,1,2,2018-02-01 02:51:00,2018-01-25 23:39:00,0,0,Работы по обращению выполнены,0,2018-01-26 03:11,2018-02-02 07:52:00,0,0,1,2,176.21666666666667,147.2,0,458,1167
"Заявка № ***********, *******************",Сервис21,1,1,2,2018-02-01 02:51:00,2018-01-25 23:39:00,0,0,Работы по обращению выполнены,0,2018-01-26 04:41,2018-02-02 07:52:00,1,0,3,2,176.21666666666667,147.2,0,458,1167
"Заявка № ***********, *******************",Сервис58,1,1,2,2018-02-01 02:51:00,2018-01-25 23:39:00,0,0,Работы по обращению выполнены,0,2018-01-26 07:52,2018-02-02 09:13:00,1,0,4,2,177.56666666666666,147.2,0,458,1167
ПЭВМ периодически работает с повышенным шумом,АРМ,0,1,4,2018-02-02 14:36:00,2018-01-25 23:45:00,0,0,Выполнен ремонт системы охлаждения блока питания системного блока,0,2018-01-31 12:36,2018-02-09 14:07:00,0,1,1,3,350.3666666666667,182.85,0,591,192
Заблокировать учетную запись пользователя Система21,Сервис21,1,1,5,2018-01-31 07:51:00,2018-01-26 00:11:00,0,0,Дана консультация,0,2018-01-26 00:49,2018-02-02 07:52:00,1,0,3,4,175.68333333333334,127.66666666666667,0,323,432
Многочисленные обращения пользователей. Отсутствует авторизация в Система304,Сервис347,0,1,6,2018-01-28 12:36:00,2018-01-26 00:35:00,1,1,Сбой репликации данных на сервера Система304 среды управления (** и **). Применено обходное решение.,0,2018-01-26 03:26,2018-02-02 09:37:00,0,2,5,5,177.03333333333333,60.016666666666666,0,503,1226
Выполнена разблокировка у/з REGION\*****,Сервис7,1,1,0,2018-01-31 07:51:00,2018-01-26 00:41:00,0,0,"Выполнена разблокировка у/з Ne_bosS\*********
Идентификация пользователя осуществлена.
Объект доступа легален.
Причина нарушения: Несколько раз неправильный ввод пароля",0,2018-01-26 00:41,2018-01-26 08:47:00,1,1,0,6,8.1,127.16666666666667,1,299,282
Штатное отключение УЗ,Сервис7,1,1,7,2018-01-31 07:51:00,2018-01-26 00:43:00,0,0,Исполнено,0,2018-01-27 01:13,2018-01-27 02:12:00,1,1,0,7,25.483333333333334,127.13333333333334,1,1157,829
Штатное отключение УЗ,Сервис7,1,1,7,2018-01-31 07:51:00,2018-01-26 00:44:00,0,0,Выполнено.,0,2018-01-26 01:12,2018-01-26 02:13:00,1,1,0,7,1.4833333333333334,127.11666666666666,1,1157,365
Замена/добавление Сертификат на сервере Система13,Сервис13,1,1,8,2018-01-31 07:51:00,2018-01-26 00:52:00,0,0,Приложенный АТФ зарегистрирован в Сисстема398 в соответствии с заявкой,0,2018-01-27 00:30,2018-02-03 07:52:00,1,0,6,2,199.0,126.98333333333333,0,330,1109
разблокировать УЗ в интернет сегменте,АРМ,0,1,2,2018-01-31 07:51:00,2018-01-26 01:39:00,0,0,Пользователь разблокирован,0,2018-01-26 01:56,2018-02-02 07:52:00,0,1,1,8,174.21666666666667,126.2,0,1229,1048
"Заявка № ***********, *******************",АРМ,0,1,9,2018-02-01 03:51:00,2018-01-26 01:52:00,0,0,Работы по обращению выполнены,0,2018-01-27 00:58,2018-02-03 07:52:00,0,0,1,9,198.0,145.98333333333332,0,458,1167
"Заявка № ***********, *******************",АРМ,0,1,9,2018-02-01 03:51:00,2018-01-26 01:52:00,0,0,Работы по обращению выполнены,0,2018-01-26 10:32,2018-02-02 11:49:00,0,0,1,9,177.95,145.98333333333332,0,458,1167
"Заявка № ***********, *******************",Сервис95,0,1,9,2018-02-01 03:51:00,2018-01-26 01:52:00,0,0,Работы по обращению выполнены,0,2018-01-27 00:59,2018-02-03 07:52:00,0,0,7,9,198.0,145.98333333333332,0,458,1167
"Заявка № ***********, *******************",Сервис205,0,1,9,2018-02-01 03:51:00,2018-01-26 01:52:00,0,0,Работы по обращению выполнены,0,2018-01-27 00:58,2018-02-03 07:52:00,0,0,8,9,198.0,145.98333333333332,0,458,1167
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис12,1,1,8,2018-01-31 07:51:00,2018-01-26 02:05:00,0,0,Выполнено отключение П\Я,0,2018-01-26 05:40,2018-02-02 07:52:00,1,0,9,9,173.78333333333333,125.76666666666667,0,374,336
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,1,1,8,2018-01-28 06:36:00,2018-01-26 02:06:00,0,0,Работы по обращению выполнены,0,2018-01-26 05:48,2018-02-02 07:52:00,1,0,6,1,173.76666666666668,52.5,0,374,1167
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,1,1,8,2018-01-28 02:36:00,2018-01-26 02:07:00,0,0,Работы по обращению выполнены,0,2018-01-27 00:08,2018-02-03 07:52:00,1,0,6,1,197.75,48.483333333333334,0,374,1167
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис71,0,1,8,2018-01-28 02:36:00,2018-01-26 02:08:00,0,0,Работы по обращению выполнены,0,2018-01-26 03:30,2018-02-02 07:52:00,0,0,10,10,173.73333333333332,48.46666666666667,0,374,1167
"Заявка № ***********, *******************",Сервис7,1,1,10,2018-01-31 07:51:00,2018-01-26 02:09:00,0,0,Доступ прекращен в зоне своей ответственности,0,2018-01-26 09:55,2018-02-02 11:13:00,1,0,0,9,177.06666666666666,125.7,0,458,660
"Заявка № ***********, *******************",АРМ,0,1,9,2018-01-31 07:51:00,2018-01-26 02:09:00,0,0,Заявка выполнена,0,2018-01-28 04:36,2018-02-04 07:53:00,0,0,1,9,221.73333333333332,125.7,0,458,779
Разблокировать учетную запись пользователя Система21,Сервис21,1,1,11,2018-01-31 07:51:00,2018-01-26 02:14:00,0,0,Пользователь разблокирован в Система21,0,2018-01-26 10:21,2018-01-27 03:10:00,1,0,3,11,24.933333333333334,125.61666666666666,0,827,1049
Сервисы SNS#1 - Базовые сервисы,Сервис2,0,1,12,2018-01-31 07:51:00,2018-01-26 02:21:00,0,0,Исполнено,0,2018-01-27 01:17,2018-02-03 07:52:00,0,0,11,7,197.51666666666668,125.5,0,1034,829
Разблокировка ПЭВМ,АРМ,0,1,13,2018-01-31 07:51:00,2018-01-26 02:28:00,0,0,Выполнена разблокировка и пересчет эталонов КЦ.,0,2018-01-26 02:36,2018-02-07 08:43:00,0,1,1,12,294.25,125.38333333333334,0,830,278
"Заявка № ***********, *******************",Сервис154,0,1,14,2018-01-31 07:51:00,2018-01-26 02:36:00,0,0,Заявка выполнена,0,2018-01-27 03:55,2018-02-03 07:52:00,3,0,12,9,197.26666666666668,125.25,0,458,779
"Заявка № ***********, *******************",АРМ,0,1,2,2018-02-03 03:51:00,2018-01-26 02:36:00,0,0,Работы по обращению выполнены,0,2018-01-27 08:30,2018-02-03 09:45:00,0,0,1,2,199.15,193.25,0,458,1167
"Заявка № ***********, *******************",АРМ,0,1,2,2018-02-11 05:06:00,2018-01-26 02:36:00,0,0,Работы по обращению выполнены,0,2018-01-27 03:51,2018-02-03 07:52:00,0,0,1,2,197.26666666666668,386.5,0,458,1167
"Заявка № ***********, *******************",Сервис21,1,1,9,2018-02-01 03:51:00,2018-01-26 02:36:00,0,0,Работы по обращению выполнены,0,2018-01-27 03:33,2018-02-03 07:52:00,1,0,3,9,197.26666666666668,145.25,0,458,1167
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис41,0,1,8,2018-01-31 03:53:00,2018-01-26 02:38:00,0,0,Работы по обращению выполнены,0,2018-01-26 09:58,2018-02-02 11:13:00,0,0,13,1,176.58333333333334,121.25,0,374,1167
разблокировка УЗ REGION\*****,Сервис7,1,1,0,2018-01-31 07:51:00,2018-01-26 02:47:00,0,0," Выполнена разблокировка УЗ Ne_boSS\ ********       Пользователь идентифицирован, причина блокировки пользователю не ясна",0,2018-01-26 02:47,2018-01-26 02:59:00,1,1,0,13,0.2,125.06666666666666,1,1237,12
Настройка/Консультация /Техническое обслуживание,Сервис18,0,1,15,2018-01-31 07:51:00,2018-01-26 02:48:00,0,0,"Добрый день. Контрагент добавлен в справочник Поставщики (подрядчики, исполнители).
При наличии дополнительных вопросов, просьба перезвонить по тел ********",0,2018-01-26 03:32,2018-01-26 04:09:00,2,0,14,14,1.35,125.05,0,514,495
Выполнить установку/удаление ПО,АРМ,0,1,16,2018-01-31 07:51:00,2018-01-26 02:55:00,0,0,Выполнено,0,2018-01-27 06:21,2018-01-27 06:58:00,0,0,1,15,28.05,124.93333333333334,0,307,313
Выполнить установку/удаление ПО,АРМ,0,1,16,2018-01-31 07:51:00,2018-01-26 02:56:00,0,0,Выполнено,0,2018-01-27 06:26,2018-01-27 06:57:00,0,0,1,15,28.016666666666666,124.91666666666667,0,307,313
Выполнить установку/удаление ПО,АРМ,0,1,17,2018-01-31 07:51:00,2018-01-26 03:06:00,0,0,Выполнено.,0,2018-01-27 05:12,2018-02-03 07:52:00,0,0,1,16,196.76666666666668,124.75,0,307,365
разблокировка УЗ REGION\*****,Сервис7,1,1,0,2018-01-31 07:51:00,2018-01-26 03:09:00,0,0," Выполнена разблокировка УЗ Ne_boSS\ ********       Пользователь идентифицирован, причина блокировки пользователю не ясна",0,2018-01-26 03:09,2018-01-26 04:16:00,1,1,0,17,1.1166666666666667,124.7,1,1237,12
"Заявка № ***********, *******************",Сервис7,1,1,18,2018-01-31 07:51:00,2018-01-26 03:21:00,0,0,Выполнено,0,2018-01-27 02:21,2018-02-03 07:52:00,1,0,0,11,196.51666666666668,124.5,0,458,313
Запрос на организацию БРМ,АРМ,0,1,19,2018-02-07 02:51:00,2018-01-26 03:28:00,0,0,Работы по обращению выполнены,0,2018-02-01 08:03,2018-02-01 08:08:00,0,0,1,12,148.66666666666666,287.3833333333333,0,335,1167
