,Содержание,Сервис,Приоритет,Статус,Функциональная группа,Крайний срок,Дата обращения,Тип обращения на момент подачи,Тип обращения итоговый,Решение             ,Тип переклассификации,Дата восстановления,Дата закрытия обращения,Критичность,Влияние,Система,Место,range_time,numeric_sod,numeric_ans,time_to_solve
0,Выполнена разблокировка у/з REGION\*****,Сервис7,2,1,0,2018-01-31 07:51,2018-01-25 22:47:00,0,0,"Выполнена разблокировка у/з Ne_bosS\*********
Идентификация пользователя осуществлена.
Объект доступа легален.
Причина нарушения: Несколько раз неправильный ввод пароля",0,2018-01-25 22:47:00,2018-02-02 07:52:00,1,3,7,0,177.08333333333334,299,282,129.06666666666666
1,.Не включается ПК,АРМ,3,1,1,2018-01-28 05:50,2018-01-25 23:13:00,1,1,Выход из стоя БП. Заменён.,0,2018-01-25 23:55:00,2018-01-26 00:00:00,4,3,0,1,0.7833333333333333,137,417,54.61666666666667
2,"Заявка № ***********, *******************",АРМ,3,1,2,2018-02-03 02:51,2018-01-25 23:39:00,0,0,Работы по обращению выполнены,0,2018-01-28 02:54:00,2018-02-04 07:53:00,4,4,0,2,224.2333333333333,458,1167,195.2
3,"Заявка № ***********, *******************",АРМ,3,1,3,2018-01-31 07:51,2018-01-25 23:39:00,0,0,Доступ заблокирован,0,2018-01-26 03:19:00,2018-02-02 07:52:00,4,4,62,2,176.21666666666667,458,564,128.2
4,"Заявка № ***********, *******************",АРМ,3,1,2,2018-02-01 02:51,2018-01-25 23:39:00,0,0,Работы по обращению выполнены,0,2018-01-26 03:11:00,2018-02-02 07:52:00,4,4,0,2,176.21666666666667,458,1167,147.2
5,"Заявка № ***********, *******************",Сервис21,2,1,2,2018-02-01 02:51,2018-01-25 23:39:00,0,0,Работы по обращению выполнены,0,2018-01-26 04:41:00,2018-02-02 07:52:00,1,4,21,2,176.21666666666667,458,1167,147.2
6,"Заявка № ***********, *******************",Сервис58,2,1,2,2018-02-01 02:51,2018-01-25 23:39:00,0,0,Работы по обращению выполнены,0,2018-01-26 07:52:00,2018-02-02 09:13:00,1,4,58,2,177.56666666666666,458,1167,147.2
7,ПЭВМ периодически работает с повышенным шумом,АРМ,3,1,4,2018-02-02 14:36,2018-01-25 23:45:00,0,0,Выполнен ремонт системы охлаждения блока питания системного блока,0,2018-01-31 12:36:00,2018-02-09 14:07:00,4,3,0,3,350.3666666666667,591,192,182.85
8,Заблокировать учетную запись пользователя Система21,Сервис21,2,1,5,2018-01-31 07:51,2018-01-26 00:11:00,0,0,Дана консультация,0,2018-01-26 00:49:00,2018-02-02 07:52:00,1,4,21,4,175.68333333333334,323,432,127.66666666666667
9,Многочисленные обращения пользователей. Отсутствует авторизация в Система304,Сервис347,3,1,6,2018-01-28 12:36,2018-01-26 00:35:00,1,1,Сбой репликации данных на сервера Система304 среды управления (** и **). Применено обходное решение.,0,2018-01-26 03:26:00,2018-02-02 09:37:00,4,2,304,5,177.03333333333333,503,1226,60.016666666666666
